user_id,name,affiliation,prev_rank,p_wins,p_win_pct,season_hits,week0_rank,week1_hits,week1_rate,week1_rank,week2_hits,week2_rate,week2_rank,week3_hits,week3_rate,week3_rank,week4_hits,week4_rate,week4_rank,week5_hits,week5_rate,week5_rank,week6_hits,week6_rate,week6_rank,week7_hits,week7_rate,week7_rank,week8_hits,week8_rate,week8_rank,week9_hits,week9_rate,week9_rank,week10_hits,week10_rate,week10_rank,week11_hits,week11_rate,week11_rank,week12_hits,week12_rate,week12_rank,week13_hits,week13_rate,week13_rank,week14_hits,week14_rate,week14_rank,week15_hits,week15_rate,week15_rank,week16_hits,week16_rate,week16_rank,week17_hits,week17_rate,week17_rank
121,Lorenzo Reyes,USA Today,1,0,0,174,135.0,12,18.0,11.0,8,15.0,16.0,12,15.333333333333332,17.0,7,14.375,19.0,11,14.0,64.0,11,16.083333333333332,48.0,11,16.142857142857142,18.0,10,15.625,16.0,8,14.0,54.0,8,12.9,104.0,7,12.272727272727273,98.0,13,14.916666666666668,36.0,9,15.884615384615385,33.0,10,14.392857142857142,86.0,15,17.566666666666666,19.0,10,17.5625,2.0,12,16.11764705882353,24.0
47,Marc Sessler,NFL,1,0,0,171,135.0,12,18.0,11.0,8,15.0,16.0,10,14.0,63.0,8,13.75,46.0,12,15.0,28.0,9,15.416666666666668,73.0,11,15.0,61.0,8,14.375,74.0,9,13.333333333333332,83.0,9,13.8,55.0,8,13.227272727272727,58.0,13,15.375,12.0,10,16.384615384615387,17.0,13,16.5,11.0,12,17.566666666666666,19.0,7,14.46875,96.0,12,14.529411764705882,97.0
97,Tom Pelissero,USA Today,1,0,0,168,135.0,12,18.0,11.0,8,15.0,16.0,11,14.666666666666668,37.0,8,14.375,19.0,12,15.1,23.0,10,16.083333333333332,48.0,11,15.642857142857142,38.0,9,15.0625,40.0,11,15.11111111111111,15.0,8,14.5,24.0,8,12.90909090909091,76.0,11,14.458333333333332,55.0,10,15.461538461538462,55.0,12,16.035714285714285,23.0,9,15.5,89.0,9,13.96875,106.0,9,13.941176470588236,110.0
146,ESPN Fans,ESPN,1,0,0,178,135.0,12,18.0,11.0,8,15.0,16.0,11,14.666666666666668,37.0,7,13.75,46.0,12,14.5,43.0,11,16.583333333333332,26.0,10,15.571428571428571,44.0,10,15.0625,40.0,9,14.5,36.0,10,14.5,24.0,8,13.90909090909091,23.0,12,15.0,28.0,11,16.53846153846154,8.0,12,16.607142857142858,9.0,13,17.7,12.0,9,16.15625,29.0,13,16.235294117647058,15.0
98,Dave Richard,CBS,1,0,0,165,135.0,12,18.0,11.0,8,15.0,16.0,10,14.0,63.0,9,14.375,19.0,12,15.6,10.0,8,14.916666666666668,86.0,10,13.928571428571429,93.0,12,16.0625,9.0,9,15.5,9.0,8,13.4,77.0,6,11.727272727272727,111.0,10,12.75,114.0,9,14.23076923076923,99.0,10,14.25,92.0,11,15.3,93.0,10,15.3125,72.0,11,15.352941176470587,61.0
125,Adam Ronis,Sirius,1,0,0,173,135.0,12,18.0,11.0,7,14.25,39.0,12,14.666666666666668,37.0,7,14.25,23.0,13,15.1,23.0,10,16.583333333333332,26.0,10,15.071428571428571,57.0,10,15.0625,40.0,8,13.944444444444445,58.0,9,13.4,77.0,6,12.227272727272727,101.0,12,13.833333333333332,81.0,11,16.384615384615387,17.0,12,16.464285714285715,14.0,13,17.566666666666666,19.0,10,16.5625,19.0,11,15.588235294117647,47.0
42,Khaled Elsayed,ProFootballFocus,1,0,0,160,135.0,12,18.0,11.0,8,15.0,16.0,9,13.333333333333332,86.0,7,12.5,92.0,12,14.3,54.0,12,17.0,8.0,9,15.428571428571429,49.0,8,13.3125,109.0,8,12.722222222222221,107.0,9,13.2,85.0,5,11.5,116.0,10,12.041666666666668,118.0,13,16.192307692307693,22.0,7,14.607142857142858,80.0,11,13.666666666666668,118.0,9,14.65625,90.0,11,14.705882352941178,92.0
61,John Halpin,Pickwatch,1,0,0,161,135.0,12,18.0,11.0,10,16.5,1.0,9,14.666666666666668,37.0,9,14.0,34.0,11,15.1,23.0,6,13.25,118.0,10,12.785714285714285,118.0,9,14.25,82.0,8,13.166666666666668,87.0,9,13.15,87.0,8,13.09090909090909,67.0,10,13.625,92.0,9,14.115384615384615,104.0,8,13.071428571428571,120.0,11,14.133333333333333,115.0,9,14.625,91.0,13,15.735294117647058,37.0
114,Chris Simms,PFT,1,0,0,171,135.0,12,18.0,11.0,8,15.0,16.0,12,15.333333333333332,17.0,9,15.625,6.0,11,15.2,17.0,10,15.666666666666668,62.0,11,15.714285714285715,37.0,10,15.6875,14.0,7,13.5,78.0,9,12.95,102.0,6,12.272727272727273,98.0,10,12.791666666666668,111.0,9,14.26923076923077,98.0,12,15.357142857142858,47.0,11,16.4,59.0,11,15.9375,40.0,13,17.029411764705884,1.0
32,Nate Davis,USA Today,1,0,0,172,135.0,12,18.0,11.0,7,14.25,39.0,11,14.0,63.0,4,11.75,108.0,12,12.6,105.0,12,16.833333333333332,16.0,11,16.42857142857143,8.0,9,14.875,49.0,9,13.833333333333332,62.0,10,14.35,34.0,7,13.227272727272727,58.0,11,13.791666666666668,83.0,9,14.76923076923077,85.0,13,15.892857142857142,26.0,14,18.53333333333333,3.0,10,17.03125,10.0,11,15.558823529411764,53.0
