,hm1,hm2,hm3,hm4,hm5,hm6,hm7,hm8,hm9,hm10,hm11,hm12,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12
1,0.6328125,0.6298828125,0.6181640625,0.6337890625,0.6376953125,0.6318359375,0.62890625,0.6298828125,0.6220703125,0.6220703125,0.625,0.6181640625,0.04,0.08,0.04,0.12,0.16,0.04,0.04,0.04,0.04,0.04,0.04,0.04
2,0.634765625,0.625,0.62890625,0.630859375,0.6455078125,0.64453125,0.6455078125,0.6396484375,0.63671875,0.634765625,0.6328125,0.6298828125,0.08,0.04,0.08,0.08,0.28,0.18,0.2,0.1,0.08,0.12,0.08,0.08
3,0.63671875,0.638671875,0.630859375,0.626953125,0.6357421875,0.634765625,0.6337890625,0.6396484375,0.6474609375,0.6328125,0.634765625,0.6337890625,0.12,0.12,0.12,0.04,0.06,0.08,0.08,0.1,0.12,0.08,0.12,0.12
4,0.658203125,0.64453125,0.6435546875,0.6396484375,0.63671875,0.6484375,0.64453125,0.65234375,0.654296875,0.6494140625,0.6435546875,0.642578125,0.88,0.2,0.18,0.24,0.12,0.34,0.12,0.48,0.64,0.2,0.18,0.2
5,0.6533203125,0.642578125,0.646484375,0.634765625,0.638671875,0.64453125,0.6494140625,0.6474609375,0.6494140625,0.6435546875,0.6435546875,0.6396484375,0.62,0.16,0.28,0.16,0.2,0.18,0.46,0.22,0.2,0.16,0.18,0.16
6,0.6484375,0.6513671875,0.65234375,0.646484375,0.646484375,0.6455078125,0.65625,0.6533203125,0.6533203125,0.654296875,0.646484375,0.6494140625,0.22,0.36,0.52,0.44,0.34,0.26,0.96,0.62,0.58,0.52,0.3,0.56
7,0.6552734375,0.650390625,0.6474609375,0.638671875,0.6357421875,0.638671875,0.650390625,0.6474609375,0.6484375,0.6513671875,0.6455078125,0.6474609375,0.74,0.3,0.32,0.2,0.06,0.12,0.54,0.22,0.16,0.32,0.24,0.32
8,0.654296875,0.650390625,0.6455078125,0.6416015625,0.6396484375,0.6455078125,0.6484375,0.65234375,0.6513671875,0.6513671875,0.65234375,0.6513671875,0.68,0.3,0.24,0.28,0.24,0.26,0.38,0.48,0.36,0.32,0.58,0.64
9,0.6513671875,0.6474609375,0.6435546875,0.6435546875,0.646484375,0.650390625,0.6494140625,0.6474609375,0.6533203125,0.654296875,0.654296875,0.65234375,0.4,0.24,0.18,0.34,0.34,0.44,0.46,0.22,0.58,0.52,0.82,0.72
10,0.6513671875,0.65234375,0.6484375,0.646484375,0.6474609375,0.6513671875,0.646484375,0.65625,0.6552734375,0.6552734375,0.6533203125,0.6494140625,0.4,0.4,0.38,0.44,0.42,0.48,0.28,0.9,0.68,0.68,0.7,0.56
11,0.65234375,0.65625,0.6533203125,0.6435546875,0.650390625,0.6533203125,0.6455078125,0.654296875,0.65234375,0.654296875,0.6513671875,0.646484375,0.52,0.56,0.58,0.34,0.6,0.6,0.2,0.76,0.48,0.52,0.52,0.24
12,0.6572265625,0.658203125,0.6572265625,0.646484375,0.6533203125,0.6591796875,0.6484375,0.6533203125,0.66015625,0.6533203125,0.654296875,0.65234375,0.8,0.74,0.84,0.44,0.8,0.92,0.38,0.62,0.92,0.42,0.82,0.72
13,0.6533203125,0.66015625,0.66015625,0.650390625,0.650390625,0.6533203125,0.6474609375,0.6484375,0.65625,0.650390625,0.6494140625,0.6484375,0.62,0.84,0.98,0.78,0.6,0.6,0.32,0.32,0.76,0.24,0.38,0.44
14,0.658203125,0.658203125,0.6572265625,0.6474609375,0.650390625,0.6552734375,0.6455078125,0.6474609375,0.65234375,0.6513671875,0.646484375,0.6474609375,0.88,0.74,0.84,0.52,0.6,0.76,0.2,0.22,0.48,0.32,0.3,0.32
15,0.6630859375,0.66015625,0.6572265625,0.6494140625,0.6494140625,0.6611328125,0.6533203125,0.654296875,0.65625,0.6552734375,0.6533203125,0.6533203125,1.0,0.84,0.84,0.68,0.5,0.98,0.8,0.76,0.76,0.68,0.7,0.82
16,0.658203125,0.6611328125,0.6552734375,0.65234375,0.65625,0.6611328125,0.654296875,0.658203125,0.66015625,0.658203125,0.658203125,0.65625,0.88,0.92,0.7,0.96,0.94,0.98,0.84,1.0,0.92,0.84,0.98,0.98
17,0.6591796875,0.66015625,0.6591796875,0.650390625,0.65625,0.65625,0.6513671875,0.654296875,0.65625,0.6552734375,0.6533203125,0.654296875,0.96,0.84,0.92,0.78,0.94,0.86,0.64,0.76,0.76,0.68,0.7,0.88
18,0.6552734375,0.6650390625,0.66015625,0.6552734375,0.6591796875,0.6552734375,0.6552734375,0.6572265625,0.662109375,0.6591796875,0.6533203125,0.65625,0.74,1.0,0.98,1.0,1.0,0.76,0.9,0.96,1.0,0.9,0.7,0.98
19,0.6513671875,0.6630859375,0.65625,0.6513671875,0.65234375,0.65625,0.6552734375,0.6552734375,0.6572265625,0.66015625,0.65625,0.65234375,0.4,0.96,0.76,0.9,0.74,0.86,0.9,0.84,0.84,0.96,0.88,0.72
20,0.65234375,0.65625,0.6533203125,0.650390625,0.6552734375,0.654296875,0.6572265625,0.65625,0.66015625,0.662109375,0.658203125,0.6552734375,0.52,0.56,0.58,0.78,0.86,0.68,1.0,0.9,0.92,1.0,0.98,0.92
21,0.6484375,0.6572265625,0.6513671875,0.6484375,0.6552734375,0.6552734375,0.6513671875,0.6533203125,0.65234375,0.6591796875,0.6572265625,0.6533203125,0.22,0.66,0.48,0.6,0.86,0.76,0.64,0.62,0.48,0.9,0.92,0.82
22,0.65234375,0.654296875,0.6494140625,0.6484375,0.6474609375,0.6494140625,0.6513671875,0.650390625,0.650390625,0.6552734375,0.650390625,0.6484375,0.52,0.44,0.44,0.6,0.42,0.4,0.64,0.4,0.26,0.68,0.46,0.44
23,0.6474609375,0.6572265625,0.6484375,0.650390625,0.6494140625,0.6484375,0.650390625,0.6494140625,0.6513671875,0.6533203125,0.6494140625,0.6494140625,0.16,0.66,0.38,0.78,0.5,0.34,0.54,0.36,0.36,0.42,0.38,0.56
24,0.650390625,0.65625,0.6552734375,0.6513671875,0.65234375,0.6533203125,0.65234375,0.6533203125,0.6513671875,0.6552734375,0.65234375,0.6474609375,0.32,0.56,0.7,0.9,0.74,0.6,0.74,0.62,0.36,0.68,0.58,0.32
25,0.6494140625,0.6552734375,0.654296875,0.6484375,0.6513671875,0.65234375,0.65234375,0.65234375,0.650390625,0.6572265625,0.650390625,0.6484375,0.28,0.48,0.64,0.6,0.68,0.52,0.74,0.48,0.26,0.8,0.46,0.44
